Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,38895.6,88123.9,140974.9,210195.1,42007.1,99767.4,162209.7,239552.6,53937.4,118707.7,186924.1,266240.0,66969.6,154150.3,240917.9,356071.4,107060.8,229334.8,343085.9,493652.0,120409.8,273429.9
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1052.2,2929.4,5053.7,7089.8,1172.7,3064.5,5386.0,8110.7,1623.0,4203.2,7063.9,10254.0,2314.5,5085.9,8369.2,12959.2,4273.7,9456.1,14307.2,20530.9,5560.1,10265.4
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1501.3,3720.0,6262.1,9622.6,2013.8,4306.1,7710.1,11176.6,3439.4,7097.9,10502.4,14339.8,3816.9,8362.8,13418.2,18639.1,5985.0,11752.1,19161.4,28132.2,7284.9,13961.4
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,1599.2,4645.6,9665.9,12183.9,3348.2,8595.8,14247.2,20528.3,7138.6,12151.2,16263.3,21638.3,6663.7,15271.0,22359.9,31030.5,10583.6,24423.5,35342.9,48961.2,8819.1,19041.8
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,2597.3,5855.4,9154.5,12545.4,1800.1,4051.6,6536.0,9233.6,2247.2,5412.5,8012.9,10373.9,2910.8,6847.4,10566.0,14970.9,4597.1,10137.9,17389.3,23058.6,5136.2,11670.9
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,4839.0,10459.2,14797.2,20557.6,2587.2,6142.0,10611.8,17359.1,3534.8,6910.7,11204.4,16012.8,3852.2,8574.7,14097.9,21138.0,8675.3,19578.7,24399.6,32996.9,8164.1,20812.0
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,3801.6,8395.7,12405.2,15688.4,2987.6,7264.0,11172.4,15020.1,3672.7,8553.2,13281.9,17958.1,4794.1,10699.2,16559.8,26398.6,9053.6,16890.5,23429.8,34024.5,8073.3,18214.1
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,2601.6,5403.9,8444.1,12007.2,2578.3,5536.4,9252.0,12982.0,2907.5,6812.1,10839.0,14775.1,3967.2,8552.8,14205.4,19220.1,9203.3,16708.7,30716.0,53340.5,12406.4,29177.4
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,2718.0,6206.1,9392.4,14656.4,2875.2,7227.3,11758.3,15641.6,4344.2,9757.2,14788.8,18917.1,6263.5,13775.1,19570.4,25717.1,7145.6,15274.6,21128.4,29652.5,10437.2,17982.6
1722,Surxondaryo viloyati,Сурхандарьинская область,Surkhandarya region,Сурхондарё вилояти,1415.9,3279.0,5236.7,10068.2,2004.6,4829.4,7695.0,12037.8,2302.1,5037.1,8198.5,11569.4,3932.5,7933.2,12354.4,18307.7,6176.0,9808.0,13928.7,15277.5,6083.1,8958.9
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,1204.6,2608.9,5059.5,7191.9,1748.0,3924.0,5951.0,8051.8,2892.6,6116.0,9257.7,12354.6,3333.3,7127.0,10589.4,15871.8,2745.2,5662.3,8731.4,10942.8,5041.8,9556.9
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,3546.0,8530.5,13333.7,21148.6,5695.8,12125.2,19540.0,28113.6,5332.9,12122.1,20227.3,35767.7,7864.0,19922.2,31200.7,47709.3,13783.0,31921.2,50427.9,70529.8,16112.9,40687.6
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,2311.4,4906.2,8200.0,11040.0,2341.2,5192.4,8753.0,12625.2,3159.3,6798.2,11085.6,15419.3,4205.0,9229.4,14349.9,19955.0,5137.8,10575.4,16607.4,22383.5,6426.3,15318.2
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1063.9,2359.4,3818.3,5391.8,1123.4,2919.9,5564.4,8292.0,1328.8,3567.3,6395.2,8769.7,1896.8,4306.4,7185.8,11666.1,2489.6,6015.4,8865.1,14795.3,3935.7,9628.9
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,8577.6,18571.3,29751.4,50371.3,9677.1,24286.6,37454.2,58172.7,9902.8,23594.0,38968.7,56847.9,11144.5,28282.1,45426.2,71143.7,17042.9,40856.1,58139.9,88330.6,16874.3,47899.9
